hs from to value
hs17 41245355 41245355 417
hs17 41245356 41245360 432
hs17 41245361 41245361 433
hs17 41245362 41245423 434
hs17 41245424 41245426 432
hs17 41245427 41245427 426
hs17 41245428 41245428 425
hs17 41245429 41245430 424
hs17 41245431 41245431 423
hs17 41245432 41245432 422
hs17 41245433 41245433 421
hs17 41245434 41245434 417
hs17 41245435 41245435 205
hs17 41245436 41245594 203
hs17 41245595 41245595 207
hs17 41245596 41245596 455
hs17 41245597 41245719 461
hs17 41245720 41245720 460
hs17 41245721 41245721 458
hs17 41245722 41245722 457
hs17 41245723 41245723 452
hs17 41245724 41245724 447
hs17 41245725 41245725 261
hs17 41245726 41245833 258
hs17 41245834 41245834 261
hs17 41245835 41245835 490
hs17 41245836 41245836 496
hs17 41245837 41245837 498
hs17 41245838 41245838 500
hs17 41245839 41245847 506
hs17 41245848 41245931 513
hs17 41245932 41245933 512
hs17 41245934 41245934 510
hs17 41245935 41245935 508
hs17 41245936 41245936 506
hs17 41245937 41245937 500
hs17 41245938 41245938 259
hs17 41245939 41245939 255
hs17 41245940 41245943 254
hs17 41245944 41246134 255
hs17 41246135 41246135 428
hs17 41246136 41246136 434
hs17 41246137 41246161 435
hs17 41246162 41246210 436
hs17 41246211 41246211 434
hs17 41246212 41246213 433
hs17 41246214 41246214 423
hs17 41246215 41246215 184
hs17 41246216 41246358 181
hs17 41246359 41246359 187
hs17 41246360 41246360 399
hs17 41246361 41246361 429
hs17 41246362 41246363 430
hs17 41246364 41246365 431
hs17 41246366 41246367 432
hs17 41246368 41246374 433
hs17 41246375 41246430 434
hs17 41246431 41246437 433
hs17 41246438 41246438 431
hs17 41246439 41246439 426
hs17 41246440 41246440 254
hs17 41246441 41246605 253
hs17 41246606 41246606 254
hs17 41246607 41246607 259
hs17 41246608 41246608 503
hs17 41246609 41246609 531
hs17 41246610 41246610 534
hs17 41246611 41246613 537
hs17 41246614 41246614 538
hs17 41246615 41246713 540
hs17 41246714 41246716 538
hs17 41246717 41246717 536
hs17 41246718 41246718 535
hs17 41246719 41246719 534
hs17 41246720 41246720 531
hs17 41246721 41246721 520
hs17 41246722 41246952 287
hs17 41246953 41246955 286
hs17 41246956 41246961 282
hs17 41246962 41246962 281
hs17 41246963 41246964 277
hs17 41246965 41246965 267
hs17 41246966 41246966 2
hs17 41246967 41246967 1
hs17 41246968 41247772 0
hs17 41247773 41247773 3
hs17 41247774 41247774 229
hs17 41247775 41247775 232
hs17 41247776 41247776 233
hs17 41247777 41247777 234
hs17 41247778 41247779 235
hs17 41247780 41247780 236
hs17 41247781 41248069 237
hs17 41248070 41248076 236
hs17 41248077 41248078 233
hs17 41248079 41248079 229
hs17 41248080 41248080 2
hs17 41248081 41249225 0
hs17 41249226 41249226 2
hs17 41249227 41249231 118
hs17 41249232 41249477 120
hs17 41249478 41249481 119
hs17 41249482 41249484 118
hs17 41249485 41249485 117
hs17 41249486 41249486 1
hs17 41249487 41251651 0
hs17 41251652 41251652 1
hs17 41251653 41251653 211
hs17 41251654 41251667 216
hs17 41251668 41251688 217
hs17 41251689 41251994 218
hs17 41251995 41251999 217
hs17 41252000 41252002 215
hs17 41252003 41252003 213
hs17 41252004 41252004 1
hs17 41252005 41256107 0
hs17 41256108 41256109 11
hs17 41256110 41256110 15
hs17 41256111 41256112 199
hs17 41256113 41256113 200
hs17 41256114 41256119 205
hs17 41256120 41256435 206
hs17 41256436 41256450 205
hs17 41256451 41256455 203
hs17 41256456 41256459 200
hs17 41256460 41256461 199
hs17 41256462 41256462 193
hs17 41256463 41256463 2
hs17 41256464 41256786 0
hs17 41256787 41256787 1
hs17 41256788 41256788 9
hs17 41256789 41256789 162
hs17 41256790 41256790 165
hs17 41256791 41256793 166
hs17 41256794 41257121 167
hs17 41257122 41257122 165
hs17 41257123 41257124 164
hs17 41257125 41257125 162
hs17 41257126 41257126 159
hs17 41257127 41258418 0
hs17 41258419 41258419 5
hs17 41258420 41258420 222
hs17 41258421 41258421 224
hs17 41258422 41258422 289
hs17 41258423 41258759 303
hs17 41258760 41258764 302
hs17 41258765 41258765 300
hs17 41258766 41258766 294
hs17 41258767 41258769 293
hs17 41258770 41258770 292
hs17 41258771 41258771 290
hs17 41258772 41258772 2
hs17 41258773 41258773 1
hs17 41258774 41267663 0
hs17 41267664 41267664 117
hs17 41267665 41267673 119
hs17 41267674 41267680 120
hs17 41267681 41267910 121
hs17 41267911 41267911 117
hs17 41267912 41267912 1
hs17 41267913 41275977 0
hs17 41275978 41275978 3
hs17 41275979 41275979 5
hs17 41275980 41275980 117
hs17 41275981 41275982 120
hs17 41275983 41275983 121
hs17 41275984 41276279 122
hs17 41276280 41276284 121
hs17 41276285 41276285 120
hs17 41276286 41276286 90
hs17 41276287 41276289 88
hs17 41276290 41276290 85
hs17 41276291 41276291 84
hs17 41276292 41276292 81
hs17 41276293 41276293 1
hs17 41276294 41277500 0
